Origin,Destination,Year,Value,dist
AFG,AUT,2000,828.0,4568.098
AFG,AUT,2001,1539.0,4568.098
AFG,AUT,2002,1101.0,4568.098
AFG,AUT,2003,743.0,4568.098
AFG,AUT,2004,650.0,4568.098
AFG,AUT,2005,652.0,4568.098
AFG,AUT,2006,498.0,4568.098
AFG,AUT,2007,530.0,4568.098
AFG,AUT,2008,958.0,4568.098
AFG,AUT,2009,1422.0,4568.098
AFG,AUT,2010,1281.0,4568.098
AFG,AUT,2011,2908.0,4568.098
AFG,AUT,2012,3756.0,4568.098
AFG,AUT,2013,2305.0,4568.098
AFG,AUT,2014,3171.0,4568.098
AFG,AUT,2015,19505.0,4568.098
AFG,AUT,2016,11660.0,4568.098
AFG,AUT,2017,2103.0,4568.098
AFG,AUT,2018,1253.0,4568.098
AFG,BEL,2008,138.0,5416.121
AFG,BEL,2009,150.0,5416.121
AFG,BEL,2010,208.0,5416.121
AFG,BEL,2011,285.0,5416.121
AFG,BEL,2012,2804.0,5416.121
AFG,BEL,2013,1255.0,5416.121
AFG,BEL,2014,1134.0,5416.121
AFG,BEL,2015,7453.0,5416.121
AFG,BEL,2016,2481.0,5416.121
AFG,BEL,2017,1537.0,5416.121
AFG,BEL,2018,2149.0,5416.121
AFG,CZE,2003,45.0,4708.024
AFG,CZE,2004,24.0,4708.024
AFG,CZE,2005,12.0,4708.024
AFG,CZE,2006,21.0,4708.024
AFG,CZE,2007,202.0,4708.024
AFG,CZE,2008,21.0,4708.024
AFG,CZE,2009,13.0,4708.024
AFG,CZE,2010,27.0,4708.024
AFG,CZE,2011,25.0,4708.024
AFG,CZE,2012,25.0,4708.024
AFG,CZE,2013,24.0,4708.024
AFG,CZE,2014,32.0,4708.024
AFG,CZE,2015,55.0,4708.024
AFG,CZE,2016,84.0,4708.024
AFG,CZE,2017,86.0,4708.024
AFG,CZE,2018,57.0,4708.024
AFG,CZE,2019,13.0,4708.024
AFG,DNK,2000,1629.0,4857.692
AFG,DNK,2001,2819.0,4857.692
AFG,DNK,2002,1201.0,4857.692
AFG,DNK,2003,678.0,4857.692
AFG,DNK,2004,455.0,4857.692
AFG,DNK,2005,233.0,4857.692
AFG,DNK,2006,127.0,4857.692
AFG,DNK,2007,114.0,4857.692
AFG,DNK,2008,154.0,4857.692
AFG,DNK,2009,325.0,4857.692
AFG,DNK,2010,669.0,4857.692
AFG,DNK,2011,710.0,4857.692
AFG,DNK,2012,540.0,4857.692
AFG,DNK,2013,645.0,4857.692
AFG,DNK,2014,526.0,4857.692
AFG,DNK,2015,267.0,4857.692
AFG,DNK,2016,361.0,4857.692
AFG,DNK,2017,589.0,4857.692
AFG,DNK,2018,377.0,4857.692
AFG,FIN,2000,238.0,4254.794
AFG,FIN,2001,327.0,4254.794
AFG,FIN,2002,354.0,4254.794
AFG,FIN,2003,234.0,4254.794
AFG,FIN,2004,284.0,4254.794
AFG,FIN,2005,264.0,4254.794
AFG,FIN,2006,261.0,4254.794
AFG,FIN,2007,242.0,4254.794
AFG,FIN,2008,219.0,4254.794
AFG,FIN,2009,226.0,4254.794
AFG,FIN,2010,321.0,4254.794
AFG,FIN,2011,373.0,4254.794
AFG,FIN,2012,593.0,4254.794
AFG,FIN,2013,627.0,4254.794
AFG,FIN,2014,515.0,4254.794
AFG,FIN,2015,394.0,4254.794
AFG,FIN,2016,1864.0,4254.794
AFG,FIN,2017,879.0,4254.794
AFG,FIN,2018,681.0,4254.794
AFG,FRA,2000,189.0,5590.381
AFG,FRA,2001,248.0,5590.381
AFG,FRA,2002,142.0,5590.381
AFG,FRA,2003,149.0,5590.381
AFG,FRA,2004,136.0,5590.381
AFG,FRA,2005,151.0,5590.381
AFG,FRA,2006,134.0,5590.381
AFG,FRA,2007,114.0,5590.381
AFG,FRA,2008,172.0,5590.381
AFG,FRA,2009,215.0,5590.381
AFG,FRA,2010,355.0,5590.381
AFG,FRA,2011,448.0,5590.381
AFG,FRA,2012,646.0,5590.381
AFG,FRA,2013,895.0,5590.381
AFG,FRA,2014,765.0,5590.381
AFG,FRA,2015,630.0,5590.381
AFG,FRA,2016,1706.0,5590.381
AFG,FRA,2017,4986.0,5590.381
AFG,FRA,2018,5238.0,5590.381
AFG,DEU,2000,6434.0,5226.514
AFG,DEU,2001,6384.0,5226.514
AFG,DEU,2002,3896.0,5226.514
AFG,DEU,2003,2606.0,5226.514
AFG,DEU,2004,2313.0,5226.514
AFG,DEU,2005,1600.0,5226.514
AFG,DEU,2006,1283.0,5226.514
AFG,DEU,2007,1201.0,5226.514
AFG,DEU,2008,1855.0,5226.514
AFG,DEU,2009,4622.0,5226.514
AFG,DEU,2010,7377.0,5226.514
AFG,DEU,2011,9321.0,5226.514
AFG,DEU,2012,8581.0,5226.514
AFG,DEU,2013,9088.0,5226.514
AFG,DEU,2014,12922.0,5226.514
AFG,DEU,2015,84881.0,5226.514
AFG,DEU,2016,75763.0,5226.514
AFG,DEU,2017,12489.0,5226.514
AFG,DEU,2018,12523.0,5226.514
AFG,HUN,2001,0.0,4367.694
AFG,HUN,2002,0.0,4367.694
AFG,HUN,2003,0.0,4367.694
AFG,HUN,2004,0.0,4367.694
AFG,HUN,2005,2.0,4367.694
AFG,HUN,2006,2.0,4367.694
AFG,HUN,2007,18.0,4367.694
AFG,HUN,2008,11.0,4367.694
AFG,HUN,2009,26.0,4367.694
AFG,HUN,2010,21.0,4367.694
AFG,HUN,2011,14.0,4367.694
AFG,HUN,2012,25.0,4367.694
AFG,HUN,2013,54.0,4367.694
AFG,HUN,2014,108.0,4367.694
AFG,HUN,2015,112.0,4367.694
AFG,HUN,2016,101.0,4367.694
AFG,HUN,2017,476.0,4367.694
AFG,HUN,2018,157.0,4367.694
AFG,ISL,2000,0.0,6658.555
AFG,ISL,2001,3.0,6658.555
AFG,ISL,2002,0.0,6658.555
AFG,ISL,2003,0.0,6658.555
AFG,ISL,2004,0.0,6658.555
AFG,ISL,2005,0.0,6658.555
AFG,ISL,2006,0.0,6658.555
AFG,ISL,2007,0.0,6658.555
AFG,ISL,2008,0.0,6658.555
AFG,ISL,2009,0.0,6658.555
AFG,ISL,2010,3.0,6658.555
AFG,ISL,2011,1.0,6658.555
AFG,ISL,2012,3.0,6658.555
AFG,ISL,2013,0.0,6658.555
AFG,ISL,2014,6.0,6658.555
AFG,ISL,2015,7.0,6658.555
AFG,ISL,2016,10.0,6658.555
AFG,ISL,2017,36.0,6658.555
AFG,ISL,2018,34.0,6658.555
AFG,ITA,2000,34.0,4935.994
AFG,ITA,2002,48.0,4935.994
AFG,ITA,2003,50.0,4935.994
AFG,ITA,2004,64.0,4935.994
AFG,ITA,2005,145.0,4935.994
AFG,ITA,2006,171.0,4935.994
AFG,ITA,2007,856.0,4935.994
AFG,ITA,2008,1175.0,4935.994
AFG,ITA,2009,1017.0,4935.994
AFG,ITA,2010,694.0,4935.994
AFG,ITA,2011,847.0,4935.994
AFG,ITA,2012,1109.0,4935.994
AFG,ITA,2013,1147.0,4935.994
AFG,ITA,2014,1527.0,4935.994
AFG,ITA,2015,2370.0,4935.994
AFG,ITA,2016,3191.0,4935.994
AFG,ITA,2017,2120.0,4935.994
AFG,ITA,2018,1240.0,4935.994
AFG,LUX,2000,6.0,5304.336
AFG,LUX,2001,2.0,5304.336
AFG,LUX,2002,0.0,5304.336
AFG,LUX,2003,1.0,5304.336
AFG,LUX,2004,5.0,5304.336
AFG,LUX,2005,2.0,5304.336
AFG,LUX,2006,6.0,5304.336
AFG,LUX,2007,1.0,5304.336
AFG,LUX,2008,2.0,5304.336
AFG,LUX,2009,18.0,5304.336
AFG,LUX,2010,15.0,5304.336
AFG,LUX,2011,16.0,5304.336
AFG,LUX,2012,11.0,5304.336
AFG,LUX,2013,14.0,5304.336
AFG,LUX,2014,4.0,5304.336
AFG,LUX,2015,199.0,5304.336
AFG,LUX,2016,71.0,5304.336
AFG,LUX,2017,20.0,5304.336
AFG,LUX,2018,127.0,5304.336
AFG,NLD,2000,567.0,5361.4
AFG,NLD,2001,541.0,5361.4
AFG,NLD,2002,597.0,5361.4
AFG,NLD,2003,803.0,5361.4
AFG,NLD,2004,513.0,5361.4
AFG,NLD,2005,461.0,5361.4
AFG,NLD,2006,387.0,5361.4
AFG,NLD,2007,224.0,5361.4
AFG,NLD,2008,236.0,5361.4
AFG,NLD,2009,289.0,5361.4
AFG,NLD,2010,338.0,5361.4
AFG,NLD,2011,275.0,5361.4
AFG,NLD,2012,231.0,5361.4
AFG,NLD,2013,397.0,5361.4
AFG,NLD,2014,554.0,5361.4
AFG,NLD,2015,667.0,5361.4
AFG,NLD,2016,1879.0,5361.4
AFG,NLD,2017,785.0,5361.4
AFG,NLD,2018,953.0,5361.4
AFG,NOR,2000,520.0,5014.602
AFG,NOR,2001,888.0,5014.602
AFG,NOR,2002,1106.0,5014.602
AFG,NOR,2003,1354.0,5014.602
AFG,NOR,2004,699.0,5014.602
AFG,NOR,2005,826.0,5014.602
AFG,NOR,2006,598.0,5014.602
AFG,NOR,2007,559.0,5014.602
AFG,NOR,2008,785.0,5014.602
AFG,NOR,2009,1386.0,5014.602
AFG,NOR,2010,1417.0,5014.602
AFG,NOR,2011,1095.0,5014.602
AFG,NOR,2012,1219.0,5014.602
AFG,NOR,2013,990.0,5014.602
AFG,NOR,2014,833.0,5014.602
AFG,NOR,2015,1381.0,5014.602
AFG,NOR,2016,2166.0,5014.602
AFG,NOR,2017,1114.0,5014.602
AFG,NOR,2018,447.0,5014.602
AFG,NOR,2019,419.0,5014.602
AFG,POL,2005,17.0,4267.977
AFG,POL,2007,20.0,4267.977
AFG,POL,2008,25.0,4267.977
AFG,POL,2009,34.0,4267.977
AFG,POL,2010,31.0,4267.977
AFG,POL,2011,44.0,4267.977
AFG,POL,2012,51.0,4267.977
AFG,POL,2013,60.0,4267.977
AFG,POL,2014,32.0,4267.977
AFG,POL,2015,84.0,4267.977
AFG,POL,2016,76.0,4267.977
AFG,POL,2017,81.0,4267.977
AFG,POL,2018,91.0,4267.977
AFG,SVK,2003,3.0,4508.77
AFG,SVK,2004,12.0,4508.77
AFG,SVK,2005,8.0,4508.77
AFG,SVK,2006,6.0,4508.77
AFG,SVK,2007,4.0,4508.77
AFG,SVK,2008,2.0,4508.77
AFG,SVK,2009,1.0,4508.77
AFG,SVK,2010,1.0,4508.77
AFG,SVK,2011,3.0,4508.77
AFG,SVK,2012,1.0,4508.77
AFG,SVK,2013,1.0,4508.77
AFG,SVK,2014,2.0,4508.77
AFG,SVK,2015,16.0,4508.77
AFG,SVK,2016,4.0,4508.77
AFG,SVK,2019,5.0,4508.77
AFG,ESP,2000,34.0,6290.493
AFG,ESP,2001,26.0,6290.493
AFG,ESP,2002,28.0,6290.493
AFG,ESP,2003,16.0,6290.493
AFG,ESP,2004,31.0,6290.493
AFG,ESP,2005,34.0,6290.493
AFG,ESP,2006,50.0,6290.493
AFG,ESP,2007,60.0,6290.493
AFG,ESP,2008,54.0,6290.493
AFG,ESP,2009,66.0,6290.493
AFG,ESP,2010,44.0,6290.493
AFG,ESP,2011,49.0,6290.493
AFG,ESP,2012,40.0,6290.493
AFG,ESP,2013,68.0,6290.493
AFG,ESP,2014,113.0,6290.493
AFG,ESP,2015,48.0,6290.493
AFG,ESP,2016,83.0,6290.493
AFG,ESP,2017,121.0,6290.493
AFG,ESP,2018,0.0,6290.493
AFG,SWE,2000,888.0,4597.182
AFG,SWE,2001,1030.0,4597.182
AFG,SWE,2002,979.0,4597.182
AFG,SWE,2003,964.0,4597.182
AFG,SWE,2004,964.0,4597.182
AFG,SWE,2005,656.0,4597.182
AFG,SWE,2006,1669.0,4597.182
AFG,SWE,2007,835.0,4597.182
AFG,SWE,2008,1033.0,4597.182
AFG,SWE,2009,1558.0,4597.182
AFG,SWE,2010,1920.0,4597.182
AFG,SWE,2011,3415.0,4597.182
AFG,SWE,2012,4673.0,4597.182
AFG,SWE,2013,4165.0,4597.182
AFG,SWE,2014,3844.0,4597.182
AFG,SWE,2015,3375.0,4597.182
AFG,SWE,2016,4081.0,4597.182
AFG,SWE,2017,11309.0,4597.182
AFG,SWE,2018,9618.0,4597.182
AFG,CHE,2010,245.0,5247.043
AFG,CHE,2011,175.0,5247.043
AFG,CHE,2012,267.0,5247.043
AFG,CHE,2013,295.0,5247.043
AFG,CHE,2014,509.0,5247.043
AFG,CHE,2015,513.0,5247.043
AFG,CHE,2016,510.0,5247.043
AFG,CHE,2017,854.0,5247.043
AFG,CHE,2018,1126.0,5247.043
AFG,TUR,2010,2188.0,3581.608
AFG,TUR,2016,27850.0,3581.608
AFG,TUR,2017,37747.0,3581.608
AFG,TUR,2018,44977.0,3581.608
AFG,GBR,2000,78.0,5718.078
AFG,GBR,2001,833.0,5718.078
AFG,GBR,2011,1000.0,5718.078
AFG,GBR,2012,1000.0,5718.078
AFG,GBR,2013,2000.0,5718.078
AFG,GBR,2015,1000.0,5718.078
AFG,EST,2004,0.0,4238.918
AFG,EST,2005,0.0,4238.918
AFG,EST,2006,0.0,4238.918
AFG,EST,2007,0.0,4238.918
AFG,EST,2008,1.0,4238.918
AFG,EST,2009,0.0,4238.918
AFG,EST,2010,0.0,4238.918
AFG,EST,2011,1.0,4238.918
AFG,EST,2012,0.0,4238.918
AFG,EST,2013,1.0,4238.918
AFG,EST,2014,0.0,4238.918
AFG,EST,2015,5.0,4238.918
AFG,EST,2016,16.0,4238.918
AFG,EST,2017,19.0,4238.918
AFG,EST,2018,3.0,4238.918
AFG,SVN,2007,0.0,4719.426
AFG,SVN,2008,2.0,4719.426
AFG,SVN,2009,4.0,4719.426
AFG,SVN,2010,2.0,4719.426
AFG,SVN,2011,1.0,4719.426
AFG,SVN,2012,8.0,4719.426
AFG,SVN,2013,10.0,4719.426
AFG,SVN,2014,4.0,4719.426
AFG,SVN,2015,6.0,4719.426
AFG,SVN,2016,17.0,4719.426
AFG,SVN,2017,7.0,4719.426
AFG,SVN,2018,6.0,4719.426
ALB,AUT,2000,192.0,812.9326
ALB,AUT,2001,279.0,812.9326
ALB,AUT,2002,226.0,812.9326
ALB,AUT,2003,231.0,812.9326
ALB,AUT,2004,253.0,812.9326
ALB,AUT,2005,258.0,812.9326
ALB,AUT,2006,207.0,812.9326
ALB,AUT,2007,191.0,812.9326
ALB,AUT,2008,172.0,812.9326
ALB,AUT,2009,185.0,812.9326
ALB,AUT,2010,136.0,812.9326
ALB,AUT,2011,192.0,812.9326
ALB,AUT,2012,250.0,812.9326
ALB,AUT,2013,330.0,812.9326
ALB,AUT,2014,383.0,812.9326
ALB,AUT,2015,482.0,812.9326
ALB,AUT,2016,435.0,812.9326
ALB,AUT,2017,507.0,812.9326
ALB,AUT,2018,511.0,812.9326
ALB,BEL,2008,297.0,1589.107
ALB,BEL,2009,351.0,1589.107
ALB,BEL,2010,376.0,1589.107
ALB,BEL,2011,395.0,1589.107
ALB,BEL,2012,881.0,1589.107
ALB,BEL,2013,830.0,1589.107
ALB,BEL,2014,727.0,1589.107
ALB,BEL,2015,878.0,1589.107
ALB,BEL,2016,912.0,1589.107
ALB,BEL,2017,976.0,1589.107
ALB,BEL,2018,986.0,1589.107
ALB,CZE,2003,39.0,1060.922
ALB,CZE,2004,28.0,1060.922
ALB,CZE,2005,40.0,1060.922
ALB,CZE,2006,59.0,1060.922
ALB,CZE,2007,48.0,1060.922
ALB,CZE,2008,42.0,1060.922
ALB,CZE,2009,38.0,1060.922
ALB,CZE,2010,30.0,1060.922
ALB,CZE,2011,21.0,1060.922
ALB,CZE,2012,50.0,1060.922
ALB,CZE,2013,30.0,1060.922
ALB,CZE,2014,34.0,1060.922
ALB,CZE,2015,51.0,1060.922
ALB,CZE,2016,54.0,1060.922
ALB,CZE,2017,72.0,1060.922
ALB,CZE,2018,82.0,1060.922
ALB,CZE,2019,108.0,1060.922
ALB,DNK,2000,15.0,1679.912
ALB,DNK,2001,27.0,1679.912
ALB,DNK,2002,22.0,1679.912
ALB,DNK,2003,10.0,1679.912
ALB,DNK,2004,36.0,1679.912
ALB,DNK,2005,14.0,1679.912
ALB,DNK,2006,18.0,1679.912
ALB,DNK,2007,19.0,1679.912
ALB,DNK,2008,23.0,1679.912
ALB,DNK,2009,20.0,1679.912
ALB,DNK,2010,26.0,1679.912
ALB,DNK,2011,17.0,1679.912
ALB,DNK,2012,12.0,1679.912
ALB,DNK,2013,23.0,1679.912
ALB,DNK,2014,29.0,1679.912
ALB,DNK,2015,25.0,1679.912
ALB,DNK,2016,39.0,1679.912
ALB,DNK,2017,50.0,1679.912
ALB,DNK,2018,57.0,1679.912
ALB,FIN,2000,9.0,2122.475
ALB,FIN,2001,12.0,2122.475
ALB,FIN,2002,8.0,2122.475
ALB,FIN,2003,15.0,2122.475
ALB,FIN,2004,24.0,2122.475
ALB,FIN,2005,17.0,2122.475
ALB,FIN,2006,15.0,2122.475
ALB,FIN,2007,14.0,2122.475
ALB,FIN,2008,31.0,2122.475
ALB,FIN,2009,14.0,2122.475
ALB,FIN,2010,9.0,2122.475
ALB,FIN,2011,21.0,2122.475
ALB,FIN,2012,38.0,2122.475
ALB,FIN,2013,59.0,2122.475
ALB,FIN,2014,54.0,2122.475
ALB,FIN,2015,74.0,2122.475
ALB,FIN,2016,76.0,2122.475
ALB,FIN,2017,90.0,2122.475
ALB,FIN,2018,100.0,2122.475
ALB,FRA,2000,226.0,1603.534
ALB,FRA,2001,244.0,1603.534
ALB,FRA,2002,251.0,1603.534
ALB,FRA,2003,334.0,1603.534
ALB,FRA,2004,419.0,1603.534
ALB,FRA,2005,527.0,1603.534
ALB,FRA,2006,474.0,1603.534
ALB,FRA,2007,370.0,1603.534
ALB,FRA,2008,358.0,1603.534
ALB,FRA,2009,318.0,1603.534
ALB,FRA,2010,303.0,1603.534
ALB,FRA,2011,404.0,1603.534
ALB,FRA,2012,397.0,1603.534
ALB,FRA,2013,502.0,1603.534
ALB,FRA,2014,755.0,1603.534
ALB,FRA,2015,1128.0,1603.534
ALB,FRA,2016,1433.0,1603.534
ALB,FRA,2017,1678.0,1603.534
ALB,FRA,2018,1928.0,1603.534
ALB,DEU,2000,1412.0,1493.096
ALB,DEU,2001,1490.0,1493.096
ALB,DEU,2002,1667.0,1493.096
ALB,DEU,2003,1670.0,1493.096
ALB,DEU,2004,1355.0,1493.096
ALB,DEU,2005,1261.0,1493.096
ALB,DEU,2006,942.0,1493.096
ALB,DEU,2007,898.0,1493.096
ALB,DEU,2008,1046.0,1493.096
ALB,DEU,2009,961.0,1493.096
ALB,DEU,2010,913.0,1493.096
ALB,DEU,2011,1417.0,1493.096
ALB,DEU,2012,2234.0,1493.096
ALB,DEU,2013,4131.0,1493.096
ALB,DEU,2014,15165.0,1493.096
ALB,DEU,2015,69362.0,1493.096
ALB,DEU,2016,12982.0,1493.096
ALB,DEU,2017,14905.0,1493.096
ALB,DEU,2018,17321.0,1493.096
ALB,GRC,2005,39106.0,500.1241
ALB,GRC,2006,40156.0,500.1241
ALB,GRC,2007,34344.0,500.1241
ALB,GRC,2008,32107.0,500.1241
ALB,GRC,2009,34610.0,500.1241
ALB,GRC,2010,23688.0,500.1241
ALB,GRC,2011,14327.0,500.1241
ALB,HUN,2001,0.0,689.0358
ALB,HUN,2002,0.0,689.0358
ALB,HUN,2003,0.0,689.0358
ALB,HUN,2004,0.0,689.0358
ALB,HUN,2005,11.0,689.0358
ALB,HUN,2006,26.0,689.0358
ALB,HUN,2007,12.0,689.0358
ALB,HUN,2008,28.0,689.0358
ALB,HUN,2009,19.0,689.0358
ALB,HUN,2010,15.0,689.0358
ALB,HUN,2011,18.0,689.0358
ALB,HUN,2012,30.0,689.0358
ALB,HUN,2013,64.0,689.0358
ALB,HUN,2014,62.0,689.0358
ALB,HUN,2015,77.0,689.0358
ALB,HUN,2016,70.0,689.0358
ALB,HUN,2017,114.0,689.0358
ALB,HUN,2018,184.0,689.0358
ALB,ISL,2000,6.0,3675.061
ALB,ISL,2001,10.0,3675.061
ALB,ISL,2002,5.0,3675.061
ALB,ISL,2003,2.0,3675.061
ALB,ISL,2004,2.0,3675.061
ALB,ISL,2005,1.0,3675.061
ALB,ISL,2006,2.0,3675.061
ALB,ISL,2007,2.0,3675.061
ALB,ISL,2008,1.0,3675.061
ALB,ISL,2009,3.0,3675.061
ALB,ISL,2010,1.0,3675.061
ALB,ISL,2011,1.0,3675.061
ALB,ISL,2012,0.0,3675.061
ALB,ISL,2013,4.0,3675.061
ALB,ISL,2014,5.0,3675.061
ALB,ISL,2015,8.0,3675.061
ALB,ISL,2016,29.0,3675.061
ALB,ISL,2017,42.0,3675.061
ALB,ISL,2018,45.0,3675.061
ALB,ITA,2000,31992.0,611.7626
ALB,ITA,2001,27727.0,611.7626
ALB,ITA,2002,24478.0,611.7626
ALB,ITA,2003,49296.0,611.7626
ALB,ITA,2004,38807.0,611.7626
ALB,ITA,2005,28358.0,611.7626
ALB,ITA,2006,23099.0,611.7626
ALB,ITA,2007,23292.0,611.7626
ALB,ITA,2008,35715.0,611.7626
ALB,ITA,2009,27493.0,611.7626
ALB,ITA,2010,22591.0,611.7626
ALB,ITA,2011,16613.0,611.7626
ALB,ITA,2012,14118.0,611.7626
ALB,ITA,2013,12165.0,611.7626
ALB,ITA,2014,11398.0,611.7626
ALB,ITA,2015,11545.0,611.7626
ALB,ITA,2016,12966.0,611.7626
